timestamp_s,ue_id,serving_gnb,wideband_cqi,previous_quality,total_rbs,rb_available,wideband_sinr_db,rsrp_dbm,rsrq_db,mcs
0.2,0,gnb_1,15.000000,3,25,12,,,,
0.3,0,gnb_1,15.000000,3,25,12,,,,
0.4,0,gnb_1,15.000000,3,25,12,,,,
0.5,0,gnb_1,15.000000,3,25,12,,,,
0.6,0,gnb_1,15.000000,3,25,12,,,,
0.7,0,gnb_1,15.000000,3,25,12,,,,
0.8,0,gnb_1,15.000000,3,25,12,,,,
0.9,0,gnb_1,15.000000,3,25,12,,,,
1.0,0,gnb_1,15.000000,3,25,12,,,,
1.1,0,gnb_1,15.000000,3,25,12,,,,
1.2,0,gnb_1,15.000000,3,25,12,,,,
1.3,0,gnb_1,15.000000,3,25,12,,,,
1.4,0,gnb_1,15.000000,3,25,12,,,,
1.5,0,gnb_1,15.000000,3,25,12,,,,
1.6,0,gnb_1,15.000000,3,25,12,,,,
1.7,0,gnb_1,15.000000,3,25,12,,,,
1.8,0,gnb_1,15.000000,3,25,12,,,,
1.9,0,gnb_1,15.000000,3,25,12,,,,
2.0,0,gnb_1,15.000000,3,25,12,,,,
2.1,0,gnb_1,15.000000,3,25,12,,,,
2.2,0,gnb_1,15.000000,3,25,12,,,,
2.3,0,gnb_1,15.000000,3,25,12,,,,
2.4,0,gnb_1,15.000000,3,25,12,,,,
2.5,0,gnb_1,15.000000,3,25,12,,,,
2.6,0,gnb_1,15.000000,3,25,12,,,,
2.7,0,gnb_1,15.000000,3,25,12,,,,
2.8,0,gnb_1,15.000000,3,25,12,,,,
2.9,0,gnb_1,15.000000,3,25,12,,,,
3,0,gnb_1,15.000000,3,25,12,,,,
3.1,0,gnb_1,15.000000,3,25,12,,,,
3.2,0,gnb_1,15.000000,3,25,12,,,,
3.3,0,gnb_1,15.000000,3,25,12,,,,
3.4,0,gnb_1,15.000000,3,25,12,,,,
3.5,0,gnb_1,15.000000,3,25,12,,,,
3.6,0,gnb_1,15.000000,3,25,12,,,,
3.7,0,gnb_1,15.000000,3,25,12,,,,
3.8,0,gnb_1,15.000000,3,25,12,,,,
3.9,0,gnb_1,15.000000,3,25,12,,,,
4.0,0,gnb_1,15.000000,3,25,12,,,,
4.1,0,gnb_1,15.000000,3,25,12,,,,
4.2,0,gnb_1,15.000000,3,25,12,,,,
4.3,0,gnb_1,15.000000,3,25,12,,,,
4.4,0,gnb_1,15.000000,3,25,12,,,,
4.5,0,gnb_1,15.000000,3,25,12,,,,
4.6,0,gnb_1,15.000000,3,25,12,,,,
4.7,0,gnb_1,15.000000,3,25,12,,,,
4.8,0,gnb_1,15.000000,3,25,12,,,,
4.9,0,gnb_1,15.000000,3,25,12,,,,
5.0,0,gnb_1,15.000000,3,25,12,,,,
5.1,0,gnb_1,15.000000,3,25,12,,,,
5.2,0,gnb_1,15.000000,3,25,12,,,,
5.3,0,gnb_1,15.000000,3,25,12,,,,
5.3,1,gnb_1,15.000000,3,25,12,,,,
5.4,0,gnb_1,15.000000,3,25,12,,,,
5.4,1,gnb_1,15.000000,3,25,12,,,,
5.5,0,gnb_1,15.000000,3,25,12,,,,
5.5,1,gnb_1,15.000000,3,25,12,,,,
5.6,0,gnb_1,15.000000,3,25,12,,,,
5.6,1,gnb_1,15.000000,3,25,12,,,,
5.7,0,gnb_1,15.000000,3,25,12,,,,
5.7,1,gnb_1,15.000000,3,25,12,,,,
5.8,0,gnb_1,15.000000,3,25,12,,,,
5.8,1,gnb_1,15.000000,3,25,12,,,,
5.9,0,gnb_1,15.000000,3,25,12,,,,
5.9,1,gnb_1,15.000000,3,25,12,,,,
6,0,gnb_1,15.000000,3,25,12,,,,
6,1,gnb_1,15.000000,3,25,12,,,,
