scenario_id,timestamp_s,serving_gnb,user_count,rb_available,total_rbs,resource_pressure_ratio,cqi_min,cqi_median,cqi_max,cqi_unique_count,cqi_saturation_ratio,per_band_rate_min_kbps,per_band_rate_median_kbps,per_band_rate_max_kbps,mean_user_profile_range_kbps,mean_user_profile_std_kbps,pair_count,ambiguous_pair_count,ambiguous_pair_ratio
simu5g_00000000,0.6,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000001,0.7,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000002,0.8,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000003,0.9,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000004,1.0,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000005,1.1,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000006,1.2,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000007,1.3,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000008,1.4,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000009,1.5,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000010,1.6,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000011,1.7,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000012,1.8,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000013,1.9,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000014,2.0,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000015,2.1,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000016,2.2,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000017,2.3,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000018,2.4,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000019,2.5,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000020,2.6,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000021,2.7,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000022,2.8,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000023,2.9,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000024,3,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000025,3.1,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000026,3.2,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
simu5g_00000027,3.3,gnb_1,1,12,25,0.480000,15.000000,15.000000,15.000000,1,1.000000,1160.000000,1160.000000,1160.000000,0.000000,0.000000,0,0,
