section,metric,value,note
bundle,scenario_count,657,
bundle,bundle_user_rows,2463,
bundle,bundle_rb_rows,61575,
bundle,mobility_scenario_rows,662,
bundle,mobility_user_rows,2503,
bundle,radio_user_rows,2503,
bundle,radio_rb_rows,62575,
join,dropped_radio_user_rows,40,
join,dropped_mobility_rows,282,
join,bundle_user_retention_ratio,0.984019,
snapshot,active_ues_min,1,
snapshot,active_ues_median,3.000000,
snapshot,active_ues_max,7,
snapshot,multi_ue_snapshot_count,614,
snapshot,serving_gnb_unique_count,2,
cqi,cqi_unique_values,12|13|14|15,
cqi,cqi_min,12.0,
cqi,cqi_median,15.000000,
cqi,cqi_max,15.0,
cqi,cqi_saturation_ratio,0.712140,
rate,per_user_profile_range_mean_kbps,252.657734,
rate,per_user_profile_range_max_kbps,856.000000,
rate,per_user_profile_std_mean_kbps,61.951113,
rate,per_user_rate_mean_p50_kbps,1151.680000,
rate,per_user_rate_mean_p95_kbps,1160.000000,
ambiguity,pair_count,4640,
ambiguity,ambiguous_pair_count,1944,
ambiguity,ambiguous_pair_ratio,0.418966,
pressure,rb_available_unique_values,12,
pressure,total_rbs_unique_values,25,
pressure,resource_pressure_ratio_min,0.480000,
pressure,resource_pressure_ratio_median,0.480000,
pressure,resource_pressure_ratio_max,0.480000,
quality,previous_quality_unique_values,3,
quality,previous_quality_source,explicit_experiment_control_not_video_measurement,
quality,quality_switch_count,0,
quality,quality_switch_ratio,0.000000,
quality,missing_previous_quality_ratio,0.000000,
handover,handover_count,4,
handover,handover_ue_count,4,
teacher,teacher_validation_pass,1,
